FILER_ID,FILER_NAME
10570,Committee To Elect Janine Fallon Mower
10571,Fairport First
10572,Friends Of Richard Thomas For State Senate
10573,Saratoga County Independence Party -ChairmanS Club
10574,Committee To Re-Elect Judge Bucaria
10575,Committee To Re-Elect Justice Lucindo Suarez
10576,Judge Cohen For Supreme Court 2009
10577,Hafner For Supreme Court Justice
10578,Friends Of Francisco Moya
10579,Friends Of Adam Bradley
1058,Friends Of Adam Fischer-Gledhill 2020
10580,Committee To Elect Martin M. Solomon To Supreme Court
10581,Committee To Dump Thiele
10582,Brookhaven Citizens Against Higher Taxes
10583,Committee To Elect Judge Mccarty
10584,T-Mobile New York Pac
10585,Southold Gop
10586,Town Of Woodbury Republican Committee
10587,Friends Of Helene Weinstein #5
10588,Juanita Crabb For Assembly
10589,Friends Of Bruce Balter
1059,Committee To Elect John Ferlicca
10590,Committee To Re-Elect Justice Coppola
10591,Liberal Action Committee Of N.Y.S.
10592,Citizens For Jacknis
10593,Greater Manlius Coalition
10594,Friends Of Diane Terranova
10595,People For Diaz
10596,Friends Of Jay Schneiderman
10597,WRCC Housekeeping
10598,Nassau County Lesbian & Gay Democrats
10599,Yates County Republican Committee
106,Dutchess County Conservative Party Committee To Elect Candidates
1060,Friends Of Steve Gonzalez
10600,Cayuga County Republican Committee
10601,People For John Liu
10602,Friends Of Harriet Cornell
10603,Friends To Elect John Adams
10604,New Yorkers For Ferrer
10605,Friends Of Steve Bass
10606,Albany County Republican Committee
10607,Oneida County Republican Committee
10608,Suffolk County Working Families Party
10609,Friends Of Bob Gaffney
1061,Committee For New Yorks Working Families
10610,CarpenterS Local No. 19 Political Action Committee
10611,Pink Pac
10612,Friends Of Jack Cheevers
10613,Campaign For Fair Elections
10614,Adam Shun For Assembly
10615,Schab For Senate
10616,Fred Martorell For Assembly
10617,Seeley For The Assembly
10618,Committee To Elect Philip M. Marshall
10619,Friends Of George O. Darden
1062,Malcolm A Smith For New York
10620,Friends Of Joan Kesner
10621,Friends Of Dr. Barry Weinstein
10622,Shaw For Syracuse
10623,Leadership ThatS Working - 2003
10624,8th Ward Republican Club
10625,Friends Of James Rollins
10626,Beekmantown Democratic Committee
10627,David Steinberg For Town Justice
10628,Asian Americans For A Better New York
10629,Committee To Elect Frank Sansivieri Jr.
1063,Committee To Elect Chris J. Coschignano Nassau County District Court Judge
10630,Albert L. Menard Senate Fund
10631,Civil Service Technical Guild - Pac
10632,Committee To Elect Jeff Winters Assemblyman
10633,Matos 2008
